poi_id cell_id poi_type lat lon
307 1 bar 46.504486492015666 6.559630522223834
331 1 bar 46.50025877596939 6.554720529747843
578 1 supermarket 46.50601728064788 6.551165279670896
897 1 club 46.504494240870855 6.553888840292449
972 1 supermarket 46.50298419258046 6.550518965743515
280 2 club 46.505651059517156 6.567442535469904
453 2 supermarket 46.50168922199655 6.564189722851528
589 2 restaurant 46.500944424360135 6.564773582928777
711 2 cafeteria 46.50145159105236 6.56920902874812
743 2 cafeteria 46.500284936372914 6.564343000817233
772 2 cafeteria 46.50697472912017 6.563022502216543
948 2 restaurant 46.50055839896267 6.564312304003391
992 2 cafeteria 46.50691217317973 6.565422252752104
341 3 club 46.50483123793074 6.575236871091997
493 3 bar 46.50471262514785 6.57197741773289
669 3 restaurant 46.505181930761424 6.571932458239587
825 3 gym 46.500747702967864 6.575048072204613
315 4 bar 46.50560647080356 6.585854963179787
318 4 gym 46.50005085562444 6.583769105491683
416 4 dojo 46.506416619385966 6.5804765638512865
449 4 club 46.50199869372544 6.584706874716172
512 4 gym 46.50308066972222 6.581553617586899
684 4 club 46.50278240156154 6.586575675144656
841 4 restaurant 46.501088035587536 6.583888836399997
843 4 gym 46.50218419313822 6.581013674529343
869 4 bar 46.50190772763826 6.587851315748939
980 4 dojo 46.501168913091085 6.586368493874403
1007 4 club 46.50174929978327 6.585574689664131
265 5 gym 46.501701089500386 6.597372493088931
293 5 club 46.505599096099125 6.5927733045872605
337 5 restaurant 46.50511337696825 6.590775848601839
358 5 dojo 46.50244306465801 6.59105469306489
404 5 supermarket 46.506456898589335 6.598229193113482
443 5 supermarket 46.50570950606372 6.5966090434772555
574 5 supermarket 46.50147243477804 6.596087808005498
708 5 cafeteria 46.506215695052276 6.5996733217721735
758 5 club 46.50479033372219 6.594049382935638
795 5 club 46.50248351663344 6.594087642488705
918 5 bar 46.50265017651884 6.597883537529296
285 6 restaurant 46.502702079968735 6.608550271523718
680 6 dojo 46.50048265261564 6.607436402199378
915 6 restaurant 46.500693811593905 6.602018986633117
1020 6 cafeteria 46.50545812703786 6.602354310490593
197 7 appartment_block 46.5067498844889 6.618531691777435
406 7 bar 46.50659041084129 6.615843730318591
538 7 club 46.50003195953242 6.616028703614571
540 7 club 46.502457631497975 6.6111712880537805
613 7 cafeteria 46.50115431443934 6.610757059541697
625 7 cafeteria 46.5021945453081 6.614764294511265
643 7 supermarket 46.50056538762795 6.610782789450008
658 7 bar 46.500629544858214 6.613635918395412
672 7 bar 46.50241126356187 6.614453635040824
686 7 cafeteria 46.500091250216826 6.61478956026554
829 7 club 46.50664556705327 6.614904612776403
914 7 cafeteria 46.50223896522834 6.614898315064322
945 7 supermarket 46.506408224185364 6.610495058003881
463 8 bar 46.50167409718998 6.622341361558457
551 8 supermarket 46.503390307685954 6.620846201664815
606 8 club 46.503650996649725 6.622950867708268
805 8 supermarket 46.502107569130196 6.621064231308987
833 8 club 46.503637844877005 6.6276736078942475
1027 8 dojo 46.50049771074951 6.62544408475984
312 9 supermarket 46.50362067153672 6.636210908295164
330 9 gym 46.50136568182529 6.632408548387381
383 9 supermarket 46.50073401010094 6.639241162212317
444 9 supermarket 46.50010466356885 6.63965380461618
505 9 gym 46.501626444188624 6.630849461435616
529 9 cafeteria 46.50242613640737 6.634063663916213
592 9 supermarket 46.501575140607066 6.63069134260276
632 9 cafeteria 46.50545302996118 6.63041536640722
653 9 gym 46.50383449496321 6.633682945702737
754 9 restaurant 46.50666442965108 6.635252587600409
851 9 supermarket 46.50108871345575 6.630368956569507
854 9 gym 46.50401018841022 6.634091332030542
1017 9 gym 46.50673364267848 6.639421299941641
156 10 villa 46.50499317111984 6.646247394953719
269 10 supermarket 46.50301841141297 6.6428132570098075
440 10 bar 46.50197837744923 6.645288581433664
502 10 dojo 46.50547984922185 6.647003420241536
549 10 club 46.505332161567814 6.647583970175094
832 10 dojo 46.50183845599772 6.646603594454618
865 10 bar 46.50426481997377 6.642105159041783
257 11 office 46.513706793542674 6.558102491752225
266 11 supermarket 46.50947379881822 6.558148203466772
382 11 bar 46.51180460845165 6.558537701363376
408 11 dojo 46.513895206529604 6.553306357459751
517 11 restaurant 46.50992186108203 6.553112214147229
671 11 cafeteria 46.51037328371071 6.557046700375656
683 11 club 46.50781556552811 6.554025928355682
816 11 gym 46.50739241629512 6.559545992515631
870 11 supermarket 46.50703110651438 6.558286437116808
1018 11 club 46.50977614328398 6.556385036508658
1019 11 dojo 46.51361949252411 6.552697755761173
4 12 appartment_block 46.51295691581392 6.560881345927797
297 12 club 46.51278194920244 6.56250998975277
364 12 cafeteria 46.509681052355816 6.565296819960671
405 12 supermarket 46.50776112363315 6.5641071210499575
601 12 gym 46.51171873633322 6.564026531433854
1050 12 dojo 46.51058355625161 6.561973615612783
546 13 dojo 46.512189418828186 6.574103996625784
600 13 gym 46.513216692285184 6.5716384897121465
703 13 supermarket 46.51025245444882 6.57435749481911
804 13 bar 46.507069977556164 6.574563724190313
855 13 bar 46.51192928739709 6.57785607541117
888 13 dojo 46.51381783313823 6.570403001508207
894 13 supermarket 46.513837848329295 6.579516522461013
360 14 bar 46.50772092605322 6.585696370278118
422 14 supermarket 46.508362187803414 6.5855058979244925
490 14 supermarket 46.51345023387242 6.587263822970813
747 14 dojo 46.512208493739095 6.581660564738633
837 14 club 46.50748837328541 6.5884893392830755
846 14 restaurant 46.50867479136212 6.5857490217396455
884 14 restaurant 46.51384145801624 6.588867324554384
1047 14 bar 46.507403790977364 6.587885218668146
238 15 laboratory 46.51175825237519 6.593465969706802
474 15 cafeteria 46.51313423357012 6.599609960758724
485 15 restaurant 46.50939186175912 6.594321928079543
575 15 dojo 46.513984951185925 6.59120410171733
681 15 gym 46.50776662227332 6.593521007721562
698 15 cafeteria 46.510086083604904 6.59295331641394
745 15 bar 46.50890095688539 6.598496670677178
785 15 gym 46.50871404646236 6.599634252764708
377 16 restaurant 46.5103352347787 6.608349205252134
451 16 club 46.50940649480904 6.601703082838692
753 16 restaurant 46.50796566334957 6.608999674699065
1037 16 gym 46.51080441174494 6.603668509115471
160 17 villa 46.509161861472805 6.616751243334942
174 17 villa 46.507692844471755 6.6109719577603165
184 17 villa 46.5126394441926 6.611692514342311
191 17 appartment_block 46.50773223502507 6.616459350802756
381 17 gym 46.50778294696411 6.618854324319899
480 17 dojo 46.510650386991706 6.618873471481859
500 17 dojo 46.50954670732587 6.614296876569411
864 17 restaurant 46.507164978818096 6.611651383555449
